"Time (s) Run #18","Voltage, Ch A (V) Run #18"
0.000,0.151
1.000,0.002
2.000,0.002
3.000,0.002
4.000,0.008
5.000,0.014
6.000,0.017
7.000,0.019
8.000,0.021
9.000,0.022
10.000,0.023
11.000,0.580
12.000,4.649
13.000,4.873
14.000,4.878
15.000,4.880
16.000,4.880
17.000,4.881
18.000,4.881
19.000,4.881
20.000,4.749
21.000,4.220
22.000,3.729
23.000,3.299
24.000,2.920
25.000,2.586
26.000,2.292
27.000,2.032
28.000,1.803
29.000,1.600
30.000,1.420
31.000,1.261
32.000,1.120
33.000,0.996
34.000,0.886
35.000,0.788
36.000,0.701
37.000,0.625
38.000,0.558
39.000,0.498
40.000,0.444
41.000,0.397
42.000,0.354
43.000,0.317
44.000,0.284
45.000,0.254
46.000,0.227
47.000,0.204
48.000,0.183
49.000,0.165
50.000,0.148
51.000,0.133
52.000,0.120
53.000,0.109
54.000,0.098
55.000,0.089
56.000,0.081
57.000,0.074
58.000,0.067
59.000,0.061
60.000,0.056
61.000,0.052
62.000,0.047
63.000,0.044
64.000,0.040
65.000,0.037
