Resonance in LRC circuit,"Data from Narayanan Menon, Physics 182"
Frequency (Hz),Dimensionless Impedance
780,0.038
980,0.063
1180,0.138
1380,0.538
1580,0.159
1780,0.087
1980,0.061
2000,0.0564
1800,0.0794
1600,0.122
1391,0.526
1000,0.0672
800,0.0366
600,0.0244
200,0.006
400,0.0131
600,0.023
1387,0.512
1500,0.22316
1700,0.1008
2000,0.05682
1383,0.463917526
1300,0.326509724
1200,0.150698603
1100,0.093906094
1500,0.222108495
1600,0.133866134
1700,0.095285858
2800,0.029561672
2100,0.053106212
1800,0.087174349
700,0.032064128
1000,0.067067067
500,0.021021021
1400,0.544544545
1392,0.555444555
1500,0.259960159
1700,0.108782435
1900,0.070858283
1100,0.091908092
900,0.04995005
700,0.031968032
1261,0.178821179
1311,0.254726368
1361,0.399800598
1411,0.399602386
1461,0.404785643
1511,0.274177468
1561,0.200598802
