    x (cm)     y (mV)
  1.000000   1.858775
  1.204545   1.934768
  1.409091   1.697496
  1.613636   1.705802
  1.818182   1.693955
  2.022727   1.654063
  2.227273   1.685091
  2.431818   1.557813
  2.636364   1.676913
  2.840909   1.563357
  3.045455   1.787068
  3.250000   1.863119
  3.454545   1.968193
  3.659091   2.083260
  3.863636   2.498303
  4.068182   2.812316
  4.272727   3.376068
  4.477273   3.900556
  4.681818   4.088084
  4.886364   4.486809
  5.090909   4.496620
  5.295455   3.982280
  5.500000   3.470571
  5.704545   2.893874
  5.909091   2.432713
  6.113636   2.236103
  6.318182   1.782045
  6.522727   1.687833
  6.727273   1.539340
  6.931818   1.527798
  7.136364   1.566497
  7.340909   1.693315
  7.545455   1.633108
  7.750000   1.675528
  7.954545   1.640226
  8.159091   1.832518
  8.363636   1.534104
  8.568182   1.778799
  8.772727   1.659215
  8.977273   1.707034
  9.181818   2.023421
  9.386364   1.910328
  9.590909   2.015370
  9.795455   1.756000
 10.000000   1.938699
