x (mm),y (mm),yerr
0.000000000000000000e+00,4.502654999999999852e+00,6.297390000000000487e-01
5.714289999999999647e-01,2.994108000000000214e+00,1.410730000000000040e+00
1.142857000000000012e+00,4.698399999999999799e-02,1.610363999999999907e+00
1.714285999999999976e+00,-2.84E+00,1.992761999999999922e+00
2.285714000000000024e+00,-3.79E+00,8.740919999999999801e-01
2.857143000000000210e+00,-3.00E+00,1.381863999999999981e+00
3.428570999999999813e+00,-2.19E+00,8.268339999999999579e-01
4.000000000000000000e+00,-2.12E+00,8.174169999999999492e-01
4.571429000000000187e+00,6.284570000000000434e-01,1.885123000000000104e+00
5.142857000000000234e+00,5.441500000000000226e-01,6.030699999999999950e-01
5.714286000000000421e+00,3.750179000000000151e+00,1.573582999999999954e+00
6.285713999999999579e+00,6.505963999999999636e+00,6.828499999999999570e-01
6.857142999999999766e+00,1.148388500000000079e+01,1.504418999999999951e+00
7.428570999999999813e+00,1.388292799999999971e+01,1.939985999999999988e+00
8.000000000000000000e+00,2.196701600000000099e+01,1.103450999999999960e+00
