    x (mm)     y (mm)       yerr
 -8.000000  -0.083711   0.382346
 -7.673469  -0.107563   0.264546
 -7.346939  -0.110163   0.298085
 -7.020408  -1.141677   0.715841
 -6.693878  -0.223398   0.667146
 -6.367347   0.713369   0.924386
 -6.040816  -0.339685   0.335739
 -5.714286   0.932064   0.533991
 -5.387755  -1.073866   0.920460
 -5.061224   0.104928   0.433440
 -4.734694  -1.214958   1.083919
 -4.408163  -2.087842   1.238358
 -4.081633   0.372748   1.218640
 -3.755102  -0.065601   0.644039
 -3.428571   0.339600   0.357546
 -3.102041   0.197591   1.180605
 -2.775510  -0.235046   1.229970
 -2.448980  -0.692662   0.712941
 -2.122449   0.136477   0.403722
 -1.795918   0.556556   0.708693
 -1.469388   1.010591   0.311878
 -1.142857   0.664805   0.344779
 -0.816327   3.536906   0.723056
 -0.489796   1.461986   1.074099
 -0.163265   3.525735   0.657919
  0.163265   5.205259   1.170445
  0.489796   3.415762   0.643884
  0.816327   1.985315   0.715543
  1.142857   1.099904   0.811482
  1.469388   1.466406   0.599587
  1.795918   0.305053   0.428516
  2.122449   1.094837   0.635776
  2.448980   0.427425   0.798055
  2.775510  -0.029212   0.677198
  3.102041  -0.525158   0.599098
  3.428571   0.566479   0.492461
  3.755102  -1.132591   1.226628
  4.081633  -0.535222   0.714174
  4.408163  -0.015270   0.752303
  4.734694  -0.271190   1.225130
  5.061224   1.264205   0.867875
  5.387755  -0.301502   0.312058
  5.714286   0.728113   0.870871
  6.040816  -1.423454   0.731045
  6.367347  -0.105854   0.257054
  6.693878  -0.863825   0.299650
  7.020408   0.408498   1.000969
  7.346939   0.787334   1.171012
  7.673469  -0.325184   0.667241
  8.000000   0.428704   0.439623
